Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-12-08 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-11 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-12 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-13 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-14 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-15 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-18 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-19 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-20 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-21 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-22 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-25 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-26 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-27 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-28 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2000-12-29 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-01 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-02 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-03 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-04 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-05 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-08 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-09 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-10 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-11 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-12 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-15 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-16 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-17 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-18 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-19 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-22 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-23 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-24 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-25 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-26 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-29 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-30 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-01-31 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-01 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-02 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-05 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-06 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-07 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-08 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-09 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-12 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-13 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-14 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-15 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-16 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-19 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-20 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-21 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-22 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-23 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-26 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-27 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-02-28 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-01 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-02 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-05 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-06 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-07 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-08 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-09 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-12 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-13 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-14 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-15 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-16 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-19 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-20 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-21 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-22 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-23 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-26 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-27 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-28 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-29 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-03-30 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-02 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-03 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-04 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-05 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-06 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-09 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-10 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-11 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-12 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-13 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-16 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-17 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-18 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
2001-04-19 00:00:00+08:00,5.3214335441589355,5.3214335441589355,5.3214335441589355,5.3214335441589355,0,0.0,0.0
